"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV"
"Social Self-Regulation","            863","  -0.06","*-0.11*","  -0.08","           277"," -0.02","  0.04","-0.22","             595","  0.00","  0.07","-0.14"
" Conscientiousness BFI","            863","  -0.03","  -0.07","  -0.01","           277","  0.05"," -0.02","-0.11","             595"," -0.04"," -0.11"," 0.07"
"  Industriousness BFAS","            863","   0.04","   0.01","  -0.19","           277","  0.06"," -0.01","-0.15","                ","      ","      ","     "
"  Orderliness BFAS","            863","  -0.07","  -0.09"," *0.39*","           277","*0.14*","  0.03"," 0.00","                ","      ","      ","     "
" Honesty/Propriety BFI","            863","  -0.03","*-0.10*","  -0.15","           277","  0.07","  0.05","-0.31","             595","  0.03","*0.13*","-0.22"
" Agreeableness-Six BFI","            863","*-0.07*","*-0.11*","*-0.24*","           277"," -0.09"," -0.11","-0.10","             595","  0.01","  0.01","-0.12"
"  Compassion BFAS","            863","  -0.04","  -0.07","  -0.02","           277"," -0.06","  0.00","-0.04","                ","      ","      ","     "
"  Politeness BFAS","            863","  -0.03","  -0.05","*-0.18*","           277"," -0.06"," -0.06","-0.11","                ","      ","      ","     "
" Neuroticism BFI","            863","  -0.00","   0.08"," *0.27*","           277"," -0.02","  0.04"," 0.23","             595"," -0.01","  0.07"," 0.09"
"  Volatility BFAS","            863","  -0.01","   0.07"," *0.37*","           277","  0.01"," -0.01"," 0.33","                ","      ","      ","     "
"  Withdrawal BFAS","            863","  -0.02","   0.02"," *0.38*","           277"," -0.07","  0.06"," 0.28","                ","      ","      ","     "
"Dynamism","            863","   0.01","  -0.01","  -0.08","           277","  0.01","  0.02","-0.00","             595"," -0.04"," -0.04"," 0.04"
" Extraversion BFI","            863","  -0.05","   0.03","   0.07","           277","  0.05","  0.07","-0.01","             595"," -0.04"," -0.10"," 0.08"
"  Assertiveness BFAS","            863","  -0.04","  -0.09","   0.15","           277","  0.10","  0.10","-0.17","                ","      ","      ","     "
"  Enthusiasm BFAS","            863","  -0.03","  -0.03","   0.07","           277","  0.04","  0.07","-0.02","                ","      ","      ","     "
" Openness BFI","            863","  -0.01","*-0.10*","   0.02","           277"," -0.03","  0.02","-0.23","             595"," -0.01","  0.04","-0.05"
"  Intellect BFAS","            863","  -0.07","  -0.06","   0.01","           277"," -0.11","  0.01","-0.04","                ","      ","      ","     "
"  Openness BFAS","            863","  -0.05","  -0.03","   0.01","           277"," -0.12"," -0.08"," 0.03","                ","      ","      ","     "
