"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","P to V","SE","V to P","SE","P to V","SE","V to P","SE","P to V","SE","V to P","SE"
"Social Self-Regulation","         *0.10*","0.05","   0.06","0.03","          0.12","0.07"," -0.05","0.07","            0.07","0.07"," -0.03","0.05"
" Conscientiousness BFI","           0.00","0.04","   0.03","0.04","         -0.01","0.06"," -0.00","0.10","            0.02","0.04"," -0.01","0.05"
"  Industriousness BFAS","          -0.01","0.04","   0.02","0.04","          0.02","0.14","  0.05","0.31","                ","    ","      ","    "
"  Orderliness BFAS","           0.04","0.04","   0.06","0.03","          0.01","0.22","  0.01","0.43","                ","    ","      ","    "
" Honesty/Propriety BFI","           0.03","0.04","   0.06","0.03","         -0.08","0.09"," -0.13","0.08","          *0.09*","0.04"," -0.04","0.04"
" Agreeableness-Six BFI","           0.07","0.04"," *0.08*","0.04","         -0.01","0.07"," -0.08","0.12","            0.03","0.04"," -0.08","0.06"
"  Compassion BFAS","           0.07","0.05","   0.02","0.04","        *0.19*","0.06"," -0.01","0.06","                ","    ","      ","    "
"  Politeness BFAS","           0.04","0.05","  -0.02","0.04","         -0.06","0.37"," -0.11","0.63","                ","    ","      ","    "
" Neuroticism BFI","          -0.06","0.04","  -0.05","0.04","          0.07","0.05","  0.06","0.08","           -0.05","0.03"," -0.06","0.07"
"  Volatility BFAS","          -0.01","0.03","  -0.01","0.04","          0.08","0.06","  0.12","0.14","                ","    ","      ","    "
"  Withdrawal BFAS","          -0.04","0.04","  -0.04","0.04","          0.02","0.05"," -0.02","0.07","                ","    ","      ","    "
"Dynamism","           0.03","0.08","   0.05","0.07","        *0.14*","0.06","  0.07","0.05","           -0.03","0.07"," -0.04","0.05"
" Extraversion BFI","           0.00","0.06","   0.03","0.04","          0.09","0.08","  0.05","0.12","            0.00","0.03","  0.08","0.06"
"  Assertiveness BFAS","           0.01","0.04","   0.04","0.04","        *0.15*","0.07","  0.12","0.09","                ","    ","      ","    "
"  Enthusiasm BFAS","           0.02","0.06","   0.02","0.04","          0.09","0.10","  0.05","0.15","                ","    ","      ","    "
" Openness BFI","           0.00","0.04","   0.04","0.04","        *0.19*","0.06","  0.05","0.04","           -0.03","0.30"," -0.14","0.32"
"  Intellect BFAS","        *-0.10*","0.05","*-0.08*","0.04","        *0.12*","0.06","  0.06","0.05","                ","    ","      ","    "
"  Openness BFAS","           0.01","0.04","   0.04","0.04","        *0.20*","0.06","  0.06","0.04","                ","    ","      ","    "
