"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV"
"Social Self-Regulation","            863","*-0.10*","   0.01","  0.09","           277","  0.13","  -0.02","  -0.24","             595"," -0.01"," -0.06","-0.09"
" Conscientiousness BFI","            863","  -0.02","   0.03","*0.21*","           277","*0.15*","   0.04","  -0.17","             595"," -0.04"," -0.04"," 0.10"
"  Industriousness BFAS","            863","   0.01","   0.04","  0.13","           277","  0.08","   0.00","   0.05","                ","      ","      ","     "
"  Orderliness BFAS","            863","   0.03","  -0.01","  0.09","           277","  0.08","  -0.07","   0.23","                ","      ","      ","     "
" Honesty/Propriety BFI","            863","  -0.07","  -0.02","  0.06","           277","  0.01","   0.00","  -0.10","             595","  0.01"," -0.07","-0.14"
" Agreeableness-Six BFI","            863","  -0.04","  -0.02"," -0.13","           277"," -0.08","  -0.13","   0.17","             595","  0.01"," -0.10","-0.13"
"  Compassion BFAS","            863","  -0.04","   0.01"," -0.08","           277","*0.24*","   0.06","*-0.48*","                ","      ","      ","     "
"  Politeness BFAS","            863","  -0.01","  -0.06"," -0.02","           277"," -0.03","  -0.08","   0.07","                ","      ","      ","     "
" Neuroticism BFI","            863","  -0.05","  -0.06","  0.07","           277"," -0.05","  -0.07","   0.30","             595","  0.02"," -0.06","-0.04"
"  Volatility BFAS","            863","  -0.01","  -0.01","  0.01","           277"," -0.06","   0.05","  -0.02","                ","      ","      ","     "
"  Withdrawal BFAS","            863","  -0.05","*-0.08*","  0.08","           277"," -0.06","*-0.11*","   0.30","                ","      ","      ","     "
"Dynamism","            863","  -0.02","   0.01","  0.19","           277","*0.30*","   0.06","*-0.44*","             595"," -0.03"," -0.00","-0.02"
" Extraversion BFI","            863","  -0.00","  -0.02","  0.11","           277","*0.18*","   0.04","*-0.46*","             595"," -0.04","  0.01","-0.00"
"  Assertiveness BFAS","            863","   0.04","   0.01","  0.12","           277","  0.14","  -0.04","  -0.03","                ","      ","      ","     "
"  Enthusiasm BFAS","            863","   0.02","  -0.00"," -0.14","           277","  0.03","  -0.01","  -0.18","                ","      ","      ","     "
" Openness BFI","            863","  -0.00","  -0.01","  0.18","           277","*0.30*","   0.09","*-0.50*","             595"," -0.00"," -0.01","-0.01"
"  Intellect BFAS","            863","  -0.01","   0.01","*0.24*","           277"," -0.04","   0.01","   0.29","                ","      ","      ","     "
"  Openness BFAS","            863","  -0.05","  -0.05","*0.23*","           277","  0.09","  -0.06","   0.20","                ","      ","      ","     "
