"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","N","P -> V$","V -> P$","r PV","N","P -> V$","V -> P$","r PV","N","P -> V$","V -> P$","r PV"
"Social Self-Regulation","            863","  -0.05","  -0.06","  -0.10","           277","   0.17","  -0.03"," -0.40","             595","  -0.03","  -0.05","-0.04"
" Conscientiousness BFI","            863","  -0.08","  -0.08"," *0.23*","           277","   0.03","  -0.00"," -0.27","             595","  -0.03","  -0.03","-0.09"
"  Industriousness BFAS","            863","   0.00","   0.03","   0.02","           277","   0.00","*-0.18*","  0.36","                ","       ","       ","     "
"  Orderliness BFAS","            863","  -0.03","*-0.08*"," *0.23*","           277","  -0.05"," *0.17*"," -0.10","                ","       ","       ","     "
" Honesty/Propriety BFI","            863","  -0.05","*-0.09*","  -0.19","           277"," *0.19*","   0.10"," -0.58","                ","       ","       ","     "
" Agreeableness-Six BFI","            863","   0.06","  -0.04","*-0.35*","           277","  -0.08","   0.01","  0.06","             595","  -0.01","  -0.10"," 0.06"
"  Compassion BFAS","            863","  -0.01","  -0.03","*-0.41*","           277","  -0.11","*-0.17*","  0.13","                ","       ","       ","     "
"  Politeness BFAS","            863","   0.00","  -0.04","*-0.30*","           277","  -0.04","  -0.00"," -0.36","                ","       ","       ","     "
" Neuroticism BFI","            863","*-0.07*","   0.01"," *0.16*","           277","*-0.18*","  -0.03","  0.33","             595","   0.02","   0.08","-0.12"
"  Volatility BFAS","            863","  -0.04","   0.03","   0.22","           277","  -0.09","  -0.05","  0.44","                ","       ","       ","     "
"  Withdrawal BFAS","            863","  -0.06","  -0.03"," *0.22*","           277","  -0.12","  -0.13","  0.39","                ","       ","       ","     "
"Dynamism","            863","  -0.01","  -0.04","   0.15","           277","  -0.04","  -0.06","  0.34","             595","  -0.01","   0.03","-0.09"
" Extraversion BFI","            863","   0.03","   0.01","   0.04","           277","  -0.06","*-0.15*","*0.50*","             595","  -0.01","   0.01"," 0.04"
"  Assertiveness BFAS","            863","  -0.02","  -0.02","   0.12","           277","   0.01","   0.05"," -0.14","                ","       ","       ","     "
"  Enthusiasm BFAS","            863","   0.04","   0.02","  -0.12","           277","  -0.09","  -0.08","  0.33","                ","       ","       ","     "
" Openness BFI","            863","  -0.03","*-0.07*","  -0.10","           277","   0.17","   0.04"," -0.47","             595","   0.00","   0.03","-0.20"
"  Intellect BFAS","            863","  -0.07","  -0.05","  -0.08","           277","  -0.10","  -0.08"," -0.05","                ","       ","       ","     "
"  Openness BFAS","            863","  -0.05","  -0.06","  -0.11","           277","  -0.08","   0.02"," -0.29","                ","       ","       ","     "
