"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV","N","P -> V","V -> P","r PV"
"Social Self-Regulation","            863","   0.05","  0.01"," *0.38*","           277","  0.05","  -0.09"," *0.45*","             595"," -0.03"," -0.02"," *0.42*"
" Conscientiousness BFI","            863","  -0.01","  0.03"," *0.20*","           277"," -0.08","*-0.11*"," *0.36*","             595"," -0.05"," -0.05"," *0.29*"
"  Industriousness BFAS","            863","   0.03","  0.01"," *0.25*","           277"," -0.04","  -0.11","   0.36","                ","      ","      ","       "
"  Orderliness BFAS","            863","   0.04"," -0.01","   0.19","           277"," -0.09","  -0.02","   0.30","                ","      ","      ","       "
" Honesty/Propriety BFI","            863","   0.00","  0.02"," *0.24*","           277"," -0.03","  -0.03"," *0.35*","             595"," -0.02"," -0.06"," *0.39*"
" Agreeableness-Six BFI","            863","   0.08","  0.03","   0.10","           277"," -0.05","  -0.12"," *0.37*","             595","  0.03","  0.05"," *0.26*"
"  Compassion BFAS","            863","   0.05","  0.01"," *0.25*","           277","*0.28*","   0.03","  -0.21","                ","      ","      ","       "
"  Politeness BFAS","            863","  -0.03","  0.01"," *0.43*","           277","  0.07","  -0.01","   0.21","                ","      ","      ","       "
" Neuroticism BFI","            863","  -0.02","  0.00","  -0.05","           277","*0.17*"," *0.10*","*-0.38*","             595","  0.03"," -0.10","  -0.12"
"  Volatility BFAS","            863","   0.01","  0.05","*-0.21*","           277","  0.07","   0.06","  -0.23","                ","      ","      ","       "
"  Withdrawal BFAS","            863","  -0.04"," -0.03","   0.04","           277","*0.22*","   0.06","*-0.42*","                ","      ","      ","       "
"Dynamism","            863","  -0.06","  0.00","   0.16","           277"," -0.01","  -0.01","   0.14","             595","  0.04","*0.09*","*-0.23*"
" Extraversion BFI","            863","*-0.08*"," -0.01"," *0.20*","           277"," -0.01","  -0.04","   0.18","             595"," -0.01","  0.10","  -0.03"
"  Assertiveness BFAS","            863","  -0.04"," -0.00","   0.11","           277","  0.03","   0.05","  -0.04","                ","      ","      ","       "
"  Enthusiasm BFAS","            863","   0.03","  0.03","   0.19","           277","  0.01","  -0.09","   0.29","                ","      ","      ","       "
" Openness BFI","            863","  -0.02","  0.02","  -0.07","           277","*0.17*","  -0.05","  -0.18","             595","  0.06","  0.07","*-0.37*"
"  Intellect BFAS","            863","  -0.03"," -0.03","   0.07","           277"," -0.08","  -0.02","   0.12","                ","      ","      ","       "
"  Openness BFAS","            863","   0.02","  0.02","  -0.02","           277","  0.17","   0.02","  -0.17","                ","      ","      ","       "
