"","","","","","","","","","","","",""
"","National Sample","","","","Student Sample","","","","Informant Sample","","",""
"","N","P -> V$","V -> P$","r PV","N","P -> V$","V -> P$","r PV","N","P -> V$","V -> P$","r PV"
"Social Self-Regulation","            863","  -0.06","  -0.04","   0.03","           277","  -0.07","  -0.06","   0.15","             595","  -0.04","   0.03","   0.03"
" Conscientiousness BFI","            863","   0.03","  -0.02","   0.10","           277","  -0.08","  -0.03","   0.28","             595","   0.01","   0.02","  -0.06"
"  Industriousness BFAS","            863"," *0.11*","  -0.03","   0.05","           277","   0.00","  -0.08","   0.45","                ","       ","       ","       "
"  Orderliness BFAS","            863","   0.00","  -0.04"," *0.24*","           277","  -0.06","  -0.07","   0.41","                ","       ","       ","       "
" Honesty/Propriety BFI","            863","  -0.05","  -0.00","  -0.21","           277","  -0.07","  -0.08","   0.20","                ","       ","       ","       "
" Agreeableness-Six BFI","            863","  -0.04","  -0.01","  -0.15","           277","  -0.06","  -0.09","  -0.12","             595","  -0.01","   0.05","   0.05"
"  Compassion BFAS","            863","   0.06","  -0.03","*-0.26*","           277","  -0.03","  -0.01","  -0.16","                ","       ","       ","       "
"  Politeness BFAS","            863","  -0.01","  -0.04","  -0.14","           277","  -0.11","*-0.08*","  -0.17","                ","       ","       ","       "
" Neuroticism BFI","            863","  -0.05","   0.05","  -0.07","           277","   0.01","  -0.07","   0.02","             595","  -0.01","  -0.11","  -0.01"
"  Volatility BFAS","            863","   0.01","   0.03","  -0.02","           277"," *0.17*","  -0.02","   0.05","                ","       ","       ","       "
"  Withdrawal BFAS","            863","  -0.03","  -0.02","   0.06","           277","   0.03","   0.03","  -0.15","                ","       ","       ","       "
"Dynamism","            863","   0.06","  -0.01"," *0.24*","           277","   0.05","   0.09","   0.01","             595","   0.06","   0.07","*-0.25*"
" Extraversion BFI","            863","  -0.01","  -0.03"," *0.25*","           277","   0.10","   0.10","  -0.06","             595","   0.06","   0.10","  -0.19"
"  Assertiveness BFAS","            863","   0.02","  -0.04"," *0.25*","           277","   0.06","   0.02","   0.17","                ","       ","       ","       "
"  Enthusiasm BFAS","            863","   0.05","  -0.00","   0.01","           277","  -0.01","   0.00","  -0.10","                ","       ","       ","       "
" Openness BFI","            863","   0.06","  -0.01","  -0.05","           277","   0.02"," *0.05*","*-0.42*","             595","  -0.01","   0.04","  -0.23"
"  Intellect BFAS","            863","  -0.02","  -0.03","   0.01","           277","  -0.01","   0.01","  -0.08","                ","       ","       ","       "
"  Openness BFAS","            863","  -0.02","  -0.04","  -0.03","           277","  -0.12","  -0.05","  -0.25","                ","       ","       ","       "
